Validation_Set,Topics,Alpha,Beta,Coherence
100% Corpus,3,0.01,0.9099999999999999,0.6721783218413494
100% Corpus,3,0.01,symmetric,0.6510626218086335
100% Corpus,3,0.31,0.01,0.6388660174563817
100% Corpus,3,0.31,0.31,0.6373227593847169
100% Corpus,3,0.31,0.61,0.638574915688964
100% Corpus,3,0.31,0.9099999999999999,0.6220275169019018
100% Corpus,3,0.31,symmetric,0.660319760180606
100% Corpus,3,0.61,0.01,0.7134237668290638
100% Corpus,3,0.61,0.31,0.6851472254864589
100% Corpus,3,0.61,0.61,0.6887736730271777
100% Corpus,3,0.61,0.9099999999999999,0.6820102604168387
100% Corpus,3,0.61,symmetric,0.6937112269927409
100% Corpus,3,0.9099999999999999,0.01,0.6943747359266649
100% Corpus,3,0.9099999999999999,0.31,0.705438165835592
100% Corpus,3,0.9099999999999999,0.61,0.6950579173754856
100% Corpus,3,0.9099999999999999,0.9099999999999999,0.6926617927894857
100% Corpus,3,0.9099999999999999,symmetric,0.7099354881118264
100% Corpus,3,symmetric,0.01,0.6469266676427566
100% Corpus,3,symmetric,0.31,0.6504301041461917
100% Corpus,3,symmetric,0.61,0.6557084452840658
100% Corpus,3,symmetric,0.9099999999999999,0.6398219725065486
100% Corpus,3,symmetric,symmetric,0.6539529905135567
100% Corpus,3,asymmetric,0.01,0.7324632523567307
100% Corpus,3,asymmetric,0.31,0.7112761040580763
100% Corpus,3,asymmetric,0.61,0.7037906893076107
100% Corpus,3,asymmetric,0.9099999999999999,0.6989389184139897
100% Corpus,3,asymmetric,symmetric,0.742117474220228
100% Corpus,4,0.01,0.01,0.6368259918129775
100% Corpus,4,0.01,0.31,0.6549964122966889
100% Corpus,4,0.01,0.61,0.6367011832296753
100% Corpus,4,0.01,0.9099999999999999,0.6375419198660324
100% Corpus,4,0.01,symmetric,0.6449900000766609
100% Corpus,4,0.31,0.01,0.6802329708423298
100% Corpus,4,0.31,0.31,0.694034246370641
100% Corpus,4,0.31,0.61,0.6925582372745961
100% Corpus,4,0.31,0.9099999999999999,0.6825987165201186
100% Corpus,4,0.31,symmetric,0.6867707264102456
100% Corpus,4,0.61,0.01,0.6734511682168933
100% Corpus,4,0.61,0.31,0.7005639496173374
100% Corpus,4,0.61,0.61,0.6872327530999499
100% Corpus,4,0.61,0.9099999999999999,0.6964235317056096
100% Corpus,4,0.61,symmetric,0.6879239927515657
100% Corpus,4,0.9099999999999999,0.01,0.6855690736906477
100% Corpus,4,0.9099999999999999,0.31,0.6940072866984363
100% Corpus,4,0.9099999999999999,0.61,0.7000393558966618
100% Corpus,4,0.9099999999999999,0.9099999999999999,0.6914542346098529
100% Corpus,4,0.9099999999999999,symmetric,0.6801706211511419
100% Corpus,4,symmetric,0.01,0.6722668090248162
100% Corpus,4,symmetric,0.31,0.6838554056853037
100% Corpus,4,symmetric,0.61,0.6490006096314169
100% Corpus,4,symmetric,0.9099999999999999,0.6676858092614579
100% Corpus,4,symmetric,symmetric,0.6970391612125569
100% Corpus,4,asymmetric,0.01,0.6947757631233656
100% Corpus,4,asymmetric,0.31,0.7119195188150256
100% Corpus,4,asymmetric,0.61,0.6718380106668308
100% Corpus,4,asymmetric,0.9099999999999999,0.6927420553450288
100% Corpus,4,asymmetric,symmetric,0.7245387531437179
100% Corpus,5,0.01,0.01,0.6661501022001012
100% Corpus,5,0.01,0.31,0.663703096374488
100% Corpus,5,0.01,0.61,0.6586721781325793
100% Corpus,5,0.01,0.9099999999999999,0.637166262662536
100% Corpus,5,0.01,symmetric,0.6613872889740424
100% Corpus,5,0.31,0.01,0.6937352700167436
100% Corpus,5,0.31,0.31,0.6924717636905572
100% Corpus,5,0.31,0.61,0.6611570782454024
100% Corpus,5,0.31,0.9099999999999999,0.6507236214040611
100% Corpus,5,0.31,symmetric,0.681521466589451
100% Corpus,5,0.61,0.01,0.6859132889000106
100% Corpus,5,0.61,0.31,0.6918667204862983
100% Corpus,5,0.61,0.61,0.7001097589861109
100% Corpus,5,0.61,0.9099999999999999,0.6841026329372605
100% Corpus,5,0.61,symmetric,0.6874627801270077
